COD_AUTOR;HOMONIMO;FORMATO;NOME;RESUMOS
6520;;Aarestrup FM;Fernando Monteiro Aarestrup;FC017
22714;;Abdala CVG;Camilla Vendramini Galatti Abdala;PNc119
2891;;Abdo RCC;Ruy Cesar Camargo Abdo;AO112
21904;;Abe AT;Andréa Tami Abe;PR010
1834;;Abi-Rached FO;Filipe de Oliveira Abi-Rached;PNa100, PNb180, PNb205, PNe176, PNe187, PNe218
2966;;Abílio VMF;Vanessa Maria Freire Abílio;PNb213, PNc178
24331;;Aboud LRL;LILIAN RACHEL DE LIMA ABOUD;PNe063
23030;;Abrahao ALS;Ana Luiza Silvestre Abrahao;PNb140, PNb153
26168;;Abrantes PS;Priscila Silva Abrantes;PIf147
19347;;Abrão F;Fariza Abrão;PIc030, PIf067, PNd079
16083;;Abrão M;Marcel Abrão;PNd127
13237;;Abreu FV;Fernanda Volpe de Abreu;PIa046, PNc084
21226;;Abreu IS;Ieda Santos Abreu;PNc209
24517;;Abreu JL;Juliana Lino de Abreu;PId072
18960;;Abreu LG;Lucas Guimarães Abreu;PNb042
25633;;Abreu LHF;Letícia Helena Furtado de Abreu;PNc223
22130;;Abreu MGL;Mariana Gouvêa Latini Abreu;PIe128
24477;;Abreu MHNG;Mauro Henrique Nogueira Guimarães de Abreu;PIe139, PNb042, PNc092, PNc150, PNc266, PNd114, PNe085
1306;;Abreu RT;Ricardo Teixeira Abreu;PNa175
25524;;Abreu SG;Saulo Gonçalves de Abreu;PNb199
22109;;Abuna GF;Gabriel Flores Abuna;PIe073, PNb114, PNe129, PNf162
23330;;Abuna RPF;Rodrigo Paolo Flores Abuna;AO001
22132;;Acauan MD;Monique Dossena Acauan;PNa217
5499;;Acay R;Renata Acay;PId115
926;;Accorsi-Mendonça T;Thais Accorsi-Mendonça;PIa018, PIc017, PIe014, PNf045
25777;;Achoa ACH;Ana Carolina Hellmeister Achoa;PIc133
2571;;Adabo GL;Gelson Luis Adabo;PIb057, PIe079, PNa100, PNe187, PNf207
3218;;Adde CA;Carlos Alberto Adde;PId105, PNe043, PNf245
22601;;Adorno MR;Marcelo Rocha Adorno;PId140, PIf094, PNb182
17249;;Adriano MSPF;Maria Soraya Pereira Franco Adriano;PId146, PNe072
14710;;Afonso FAC;Felipe Alexander Caldas Afonso;PIa077
26018;;Afonso RCH;Rosenilde Carvalho de Holanda Afonso;PNe016
24628;;Agapito CF;Cecília Franco Agapito;PId100
14473;;Agra CM;Carlos Martins Agra;PNa016, PNe196
25895;;Aguiar AM;Adelson Mota de Aguiar;PNb012
3820;;Aguiar APS;Alana Priscila Souza Aguiar;PNe038, PNf056
2219;;Aguiar CM;Carlos Menezes Aguiar;PNd038
24860;;Aguiar DMA;Debora Maria de Araujo Aguiar;AO147, AO148
26384;;Aguiar DP;Diego Pinheiro Aguiar;PNc205
22244;;Aguiar EF;Etiene Faria Aguiar;PIf065
25330;;Aguiar EMG;Emília Maria Gomes Aguiar;PId068
1883;;Aguiar FHB;Flávio Henrique Baggio Aguiar;PIa080, PIc065, PIf089, PNb091, PNb164, PNe105, PNe109, PNe120, PNe123, PNe164, PNe167
25012;;Aguiar FMO;Fernanda Maria Oliveira Aguiar;PIf094, PNb182
21237;;Aguiar JD;Juliana Dias Aguiar;PNf102
26385;;Aguiar JPD;Juliana Pedrine Dias Aguiar;PNd138
24367;;Aguiar MCA;Maria Cecília Azevedo de Aguiar;PIe146, PIe147, PIf147
20267;;Aguiar MF;Marcelo Freitas de Aguiar;PIe109, PNd184
25359;;Aguiar PF;PÂMELA FREITAS AGUIAR;PId109
3131;;Aguiar SMHCA;Sandra Maria Herondina Coelho A. Aguiar;PNb083
16600;;Aguiar YPC;Yêska Paola Costa Aguiar;PNd061
619;;Aguiar-Júnior FA;Fábio Afrânio de Aguiar Júnior;PNf202
18354;;Aguila LR;Luzmila Rojas Del Aguila;PNb187
21105;;Aida KL;Kelly Limi Aida;PNb046, PNb121, PNd102
7252;;Aires CP;Carolina Patrícia Aires;PIa027, PIc034
14403;;Akaki E;Emilio Akaki;PIc058
14510;;Alandia-Román CC;Carla Cecilia Alandia-Román;HA013, PId067, PNa138
26571;;Alavarce RAS;Rafaela Alves da Silva Alavarce;PNb183
2861;;Albandar J;Jasim Albandar;PNd208
25831;;Albanesi RB;Rafael Borges Albanesi;PNf146
24802;;Albarello LL;LOURENÇO LUÍS ALBARELLO;PIa020, PIb010, PIb011, PId020
25126;;Albaricci MCC;Maria Carolina da Costa Albaricci;PIa124
11241;;Albergaria-Barbosa JR;José Ricardo de Albergaria-Barbosa;PNf209
18008;;Albini MB;MILENA BINHAME ALBINI;PNa260, PNf250
24480;;Albino LG;Luana Ghelen Albino;PIe103
23408;;Albrecht N;Nathalia Albrecht;PNe088
26654;;Albuquerque ACGS;Antonia Claudia Gonçalves Silva Albuquerque;PIf130
20120;;Albuquerque AJR;Allan de Jesus dos Reis Albuquerque;PNc068, PNc073, PNf071
4969;;Albuquerque DS;Diana Santana De Albuquerque;PNd028, PNe061
24792;;Albuquerque IS;Ivo de Souza Albuquerque;PIa096, PNa175
26820;;Albuquerque JSV;JOSE SILVIO VERAS ALBUQUERQUE ;PNe168
24998;;Albuquerque MS;Monique Santos Albuquerque;PIa007
15725;;Albuquerque MTP;Maria Tereza Pedrosa de Albuquerque;PId011, PNf095
