HA001;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA002;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA003;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA004;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA005;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA006;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA007;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA008;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA009;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA010;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA011;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA012;2014-09-04;8:30 – 12:00 h;Sala Camerino – 1º andar
HA013;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA014;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA015;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA016;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA017;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA018;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA019;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA020;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA021;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA022;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA023;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
HA024;2014-09-04;14:00 – 17:30 h;Sala Camerino – 1º andar
;;;
SIGLA;DIA;HORA;LOCAL
PNb243;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb244;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb245;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb246;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb247;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb248;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb249;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb250;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb251;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb252;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb253;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb254;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb255;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb256;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb257;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb258;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb259;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb260;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb261;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb262;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb263;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb264;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb265;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb266;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb267;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
PNb268;2014-09-03;8:30 – 12:00 h;Sala Montanara - 10º andar
;;;
;;;
;;;
SIGLA;DIA;HORA;LOCAL
PR0001;2014-09-03;8:30 – 12:00 h;Sala Novara – 10º andar
PR0002;2014-09-03;8:30 – 12:00 h;Sala Novara – 10º andar
PR0003;2014-09-03;8:30 – 12:00 h;Sala Novara – 10º andar
PR0004;2014-09-03;8:30 – 12:00 h;Sala Novara – 10º andar
PR0005;2014-09-03;8:30 – 12:00 h;Sala Novara – 10º andar
PR0006;2014-09-03;14:00 – 17:30 h;Sala Novara – 10º andar
PR0007;2014-09-03;14:00 – 17:30 h;Sala Novara – 10º andar
PR0008;2014-09-03;14:00 – 17:30 h;Sala Novara – 10º andar
PR0009;2014-09-03;14:00 – 17:30 h;Sala Novara – 10º andar
PR0010;2014-09-03;14:00 – 17:30 h;Sala Novara – 10º andar
PR0011;2014-09-04;8:30 – 12:00 h;Sala Novara – 10º andar
PR0012;2014-09-04;8:30 – 12:00 h;Sala Novara – 10º andar
PR0013;2014-09-04;8:30 – 12:00 h;Sala Novara – 10º andar
PR0014;2014-09-04;8:30 – 12:00 h;Sala Novara – 10º andar
;;;
;;;
SIGLA;DIA;HORA;LOCAL
PO0001;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0002;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0003;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0004;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0005;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0006;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0007;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
PO0008;2014-09-03;9:00 – 12:00 h / 13:30 - 17:30;Sala Camerino – 1 andar
